Chart,Practice,Code Smells,Total Lines,Ratio
prometheus-pushgateway,count_tabs,0,1301,0.00%
prometheus-pushgateway,has_helper_file,1,1301,0.08%
prometheus-pushgateway,include_indent_required,25,1301,1.92%
prometheus-pushgateway,chart_name_format,0,1301,0.00%
prometheus-pushgateway,namespaced_template_definitions,0,1301,0.00%
prometheus-snmp-exporter,configmap_sensitive_values,0,1061,0.00%
prometheus-snmp-exporter,standard_labels,8,1061,0.75%
prometheus-snmp-exporter,count_embedded_objects,11,1061,1.04%
prometheus-snmp-exporter,count_http_only_repositories,0,1061,0.00%
prometheus-snmp-exporter,count_nonrange_versions,0,1061,0.00%
prometheus-snmp-exporter,count_tabs,0,1061,0.00%
prometheus-snmp-exporter,has_helper_file,0,1061,0.00%
prometheus-snmp-exporter,include_indent_required,2,1061,0.19%
prometheus-snmp-exporter,chart_name_format,0,1061,0.00%
prometheus-snmp-exporter,namespaced_template_definitions,0,1061,0.00%
rook-ceph,configmap_sensitive_values,0,18189,0.00%
rook-ceph,standard_labels,2,18189,0.01%
rook-ceph,count_embedded_objects,9,18189,0.05%
rook-ceph,count_http_only_repositories,0,18189,0.00%
rook-ceph,count_nonrange_versions,2,18189,0.01%
rook-ceph,count_tabs,0,18189,0.00%
rook-ceph,has_helper_file,1,18189,0.01%
rook-ceph,include_indent_required,6,18189,0.03%
rook-ceph,chart_name_format,0,18189,0.00%
rook-ceph,namespaced_template_definitions,0,18189,0.00%
rook-ceph-cluster,configmap_sensitive_values,0,2453,0.00%
rook-ceph-cluster,standard_labels,18,2453,0.73%
rook-ceph-cluster,count_embedded_objects,11,2453,0.45%
rook-ceph-cluster,count_http_only_repositories,0,2453,0.00%
rook-ceph-cluster,count_nonrange_versions,1,2453,0.04%
rook-ceph-cluster,count_tabs,0,2453,0.00%
rook-ceph-cluster,has_helper_file,1,2453,0.04%
rook-ceph-cluster,include_indent_required,8,2453,0.33%
rook-ceph-cluster,chart_name_format,0,2453,0.00%
rook-ceph-cluster,namespaced_template_definitions,0,2453,0.00%
telepresence-oss,configmap_sensitive_values,0,2279,0.00%
telepresence-oss,standard_labels,4,2279,0.18%
telepresence-oss,count_embedded_objects,12,2279,0.53%
telepresence-oss,count_http_only_repositories,0,2279,0.00%
telepresence-oss,count_nonrange_versions,0,2279,0.00%
telepresence-oss,count_tabs,0,2279,0.00%
telepresence-oss,has_helper_file,0,2279,0.00%
telepresence-oss,include_indent_required,0,2279,0.00%
telepresence-oss,chart_name_format,0,2279,0.00%
telepresence-oss,namespaced_template_definitions,0,2279,0.00%
tetragon,configmap_sensitive_values,0,10398,0.00%
tetragon,standard_labels,4,10398,0.04%
tetragon,count_embedded_objects,7,10398,0.07%
tetragon,count_http_only_repositories,0,10398,0.00%
tetragon,count_nonrange_versions,0,10398,0.00%
tetragon,count_tabs,0,10398,0.00%
tetragon,has_helper_file,0,10398,0.00%
tetragon,include_indent_required,42,10398,0.40%
tetragon,chart_name_format,0,10398,0.00%
tetragon,namespaced_template_definitions,0,10398,0.00%
trust-manager,configmap_sensitive_values,0,1709,0.00%
trust-manager,standard_labels,2,1709,0.12%
trust-manager,count_embedded_objects,11,1709,0.64%
trust-manager,count_http_only_repositories,0,1709,0.00%
trust-manager,count_nonrange_versions,0,1709,0.00%
trust-manager,count_tabs,0,1709,0.00%
trust-manager,has_helper_file,0,1709,0.00%
trust-manager,include_indent_required,64,1709,3.74%
trust-manager,chart_name_format,0,1709,0.00%
trust-manager,namespaced_template_definitions,0,1709,0.00%
ztunnel,configmap_sensitive_values,0,886,0.00%
ztunnel,standard_labels,16,886,1.81%
ztunnel,count_embedded_objects,1,886,0.11%
ztunnel,count_http_only_repositories,0,886,0.00%
ztunnel,count_nonrange_versions,0,886,0.00%
ztunnel,count_tabs,0,886,0.00%
ztunnel,has_helper_file,1,886,0.11%
ztunnel,include_indent_required,11,886,1.24%
ztunnel,chart_name_format,0,886,0.00%
ztunnel,namespaced_template_definitions,0,886,0.00%
